ID,ISO1_3C,Longitude,Latitude,Population,NameID,PM2.5,PM2.5_PopWtd,NO2,NO2_PopWtd,Access_City,Access_Motor,Access_Walk,Diabetes,Obesity,Smoking,COPD,COPD_F,COPD_M,COPD_ave,CVD,CVD_F,CVD_M,CVD_ave,HIV,HIV_F,HIV_M,HIV_ave,Hypertension,Hypertension_F,Hypertension_M,HTN_ave,Risk_Tot,Risk_Age,Risk_High,Cases_MERS,Cases_SARS,WorldPop,WorldPop_Density,WorldPop_65,Cases_Active,Cases_Confirmed,Cases_Deaths,Deaths/100k,Deaths/100k,
EE,EST,25.01,58.6,1326539,Estonia,7.777028325,7.716126974,2.817804575,9.187649727,91.856842,30.536606,293.32047,4.2,21.2,30.5,2227092.781,1.147051909,2.130154248,1.6,11913629.58,7.619669315,9.699091761,8.7,351382.6558,0.162275151,0.357467544,0.3,47705497.06,30.9901074,38.2905089,34.6,0.346653657,0.228383988,0.07376105,0,0,1386928,14.276736,281892,3624,130418,1266,95,95,
ES,ESP,-3.75,40.46,46754783,Spain,8.894667303,9.788723556,3.667662621,6.482259274,50.495628,10.934297,87.199318,6.9,23.8,27.9,181745469.7,2.43910651,4.576693304,3.5,290301389.5,5.129691442,6.026769657,5.6,9798413.322,0.080365998,0.299941795,0.2,1311286194,22.2603332,28.1699887,25.2,0.293379123,0.18387701,0.05472501,0,1,52459400,68.013908,10432410,3502723,3733600,80501,172,172,
FI,FIN,25.75,61.92,5540718,Finland,4.986162463,6.481011193,2.545142174,5.756582737,152.25401,45.442364,351.82904,5.6,22.2,19.7,13901312.7,1.814406889,3.199648921,2.5,34552196.77,5.735688514,6.680200807,6.2,123455.6273,0.017556889,0.026917235,0.0,147859861.2,23.4844417,29.6875183,26.6,0.314140705,0.198507338,0.06210452,0,1,5573732,6.2922997,1234424,46696,93660,964,17,17,
FR,FRA,2.21,46.23,65273512,France,9.696660141,11.44881784,4.417459011,8.379734993,32.7556,12.598067,131.64954,4.8,21.6,34.6,148999127.1,1.769729019,2.660013405,2.2,403312924.9,5.369118697,6.583433711,6.0,9242274.117,0.081508295,0.195117108,0.1,1936233849,24.5105996,32.9544374,28.7,0.275654255,0.17435683,0.05235994,4,7,67819936,73.097343,13717880,5225191,5671864,109472,168,168,
GB,GBR,-3.44,55.38,67886004,United Kingdom,8.380133922,11.31847649,4.437267303,8.9939394,50.687561,16.822186,152.16605,3.9,27.8,19.2,287572335.3,4.165195642,4.407452582,4.3,410133932.9,5.605095086,6.631848023,6.1,12481109.89,0.112342827,0.261904782,0.2,1364019368,18.8345101,21.8568395,20.3,0.291252592,0.198728989,0.05595221,2,4,67286184,138.56555,12455671,4423060,4550944,127884,188,188,
GE,GEO,43.36,42.32,3989175,Georgia,12.21656022,15.16476748,2.351809263,5.39430809,157.64038,70.980499,316.72028,5.8,21.7,29.7,9649792.236,2.046838644,3.208474776,2.6,33643479.25,7.990873097,10.24719396,9.1,412032.7516,0.055460787,0.172083774,0.1,116902734.5,31.118775,31.9233155,31.5,0.317468447,0.238509308,0.07743418,0,0,3711014,33.898582,568023,9817,352649,5012,126,126,
GR,GRC,21.82,39.07,10423056,Greece,11.89576653,13.57412934,2.560017109,6.379563808,67.199753,20.729849,201.96561,4.7,24.9,39.1,32547962.12,2.70912602,3.515230888,3.1,58252517.8,5.102887668,6.019198722,5.6,441216.7792,0.027474826,0.057553811,0.0,272632285.8,23.8722784,28.1818069,26.0,0.303370846,0.180185427,0.05974473,2,0,10504808,53.04789,2376053,307809,413954,12381,119,119,
HR,HRV,15.2,45.1,4105268,Croatia,14.65198361,15.23981553,3.876852512,4.839007854,41.152702,16.780777,127.84193,5.4,24.4,36.6,12152431.11,2.265446316,3.716625422,3.0,29894356.47,6.486592498,8.155595797,7.3,72478.83835,0.007301233,0.028875583,0.0,168234489.5,37.5775347,44.7371117,41.2,0.3373016,0.207695819,0.0779229,0,0,4101371,43.780178,855616,1207,358379,8123,198,198,
HU,HUN,19.5,47.16,9660350,Hungary,15.92125797,16.38158445,5.065337658,6.640629768,39.479908,13.992006,117.96071,6.9,26.4,30.6,36212350.68,3.280110782,4.510607599,3.9,78287876.46,7.505788344,9.293757743,8.4,155894.7959,0.005860062,0.028541974,0.0,344017274.8,33.3189857,40.4674273,36.9,0.341323779,0.218206604,0.07870573,0,0,9369732,59.28672,1881012,52272,806790,29904,310,310,
IE,IRL,-7.69,53.14,4937796,Ireland,5.378640751,6.141766061,2.85697794,5.213339329,44.585827,11.077654,162.22006,3.2,25.3,23.6,22019895.31,3.950497907,4.111848369,4.0,33058324.47,5.571581977,6.540667839,6.1,252565.746,0.031812758,0.060973394,0.0,124595357,20.222055,25.4464316,22.8,0.266348667,0.204854049,0.04941176,0,1,5464581,40.289165,790331,237753,266058,4941,100,100,
IL,ISR,34.85,31.05,8655541,Israel,21.24122283,20.79267122,5.722121716,8.525292397,43.713676,23.824326,192.85655,9.7,26.1,25.5,21816691.87,2.124367933,2.796635184,2.5,48252802.78,4.920583829,5.956981762,5.4,1350765.421,0.086389471,0.219592772,0.2,166015576.7,15.664239,21.7969195,18.7,0.204699738,0.181358669,0.03843969,0,0,8884017,297.70181,1118573,320,839653,6428,74,74,
IN,IND,78.96,20.59,1380004385,India,57.72599909,72.23135981,3.761749268,5.282126904,79.662811,61.401276,207.07816,10.4,3.9,27,4883967087,3.51686429,3.425912913,3.5,8942443298,5.810060283,6.856590103,6.3,185367251.8,0.110794259,0.151075647,0.1,33095786207,22.7401714,24.2281547,23.5,0.215203555,0.22755175,0.04154176,0,3,1407610880,357.89706,91445872,1080690,29359155,367081,27,27,
IQ,IRQ,43.68,33.22,40222503,Iraq,27.75101178,25.95203219,2.302174807,5.393425465,289.7623,240.98712,752.86786,8.8,30.4,22.2,49267098.14,1.145821993,1.069460521,1.1,408410038.9,8.525985099,9.822038321,9.2,269502.7214,0.007194351,0.00493904,0.0,861600841.8,18.559733,20.1575549,19.4,0.170987859,0.246313648,0.03292304,5,0,44495216,72.400681,1427104,66089,1246860,16668,41,41,
IR,IRN,53.69,32.43,83992953,Iran,33.24250199,28.45571321,2.458590508,5.559513569,262.82935,180.99266,633.55682,9.6,25.8,14,173469040.9,1.894860017,2.42512077,2.2,769017677.9,8.569694949,10.5830774,9.6,2399007.668,0.023870136,0.035851913,0.0,1370916275,16.0797886,18.070984,17.1,0.215294,0.219002052,0.04537768,6,0,80265200,35.859539,4969041,306480,3013078,81796,97,97,
IS,ISL,-19.02,64.96,341250,Iceland,3.409424916,3.319399329,1.578585863,3.521733046,366.24036,146.12178,857.68738,5.8,21.9,13.8,1097279.059,3.295836577,3.133518819,3.2,1954228.04,4.964855576,6.485256539,5.7,19011.91298,0.02627576,0.085107693,0.1,7908011.128,16.9449526,29.3878061,23.2,0.264875911,0.197068973,0.04912527,0,0,341336,1.2272581,52700,50,6555,29,8,8,
