"ID","Cases","Type"
"FR",109472,"Deaths"
"FR",337201,"Recovered"
"GA",839,"Active"
"GA",24736,"Confirmed"
"GA",156,"Deaths"
"GA",23741,"Recovered"
"GB",4423060,"Active"
"GB",4550944,"Confirmed"
"GB",127884,"Deaths"
"GB",0,"Recovered"
"GD",0,"Active"
"GD",161,"Confirmed"
"GD",1,"Deaths"
"GD",160,"Recovered"
"GE",9817,"Active"
"GE",352649,"Confirmed"
"GE",5012,"Deaths"
"GE",337820,"Recovered"
"GH",1103,"Active"
"GH",94444,"Confirmed"
"GH",789,"Deaths"
"GH",92552,"Recovered"
"GM",15,"Active"
"GM",6008,"Confirmed"
"GM",180,"Deaths"
"GM",5813,"Recovered"
"GN",1761,"Active"
"GN",23366,"Confirmed"
"GN",167,"Deaths"
"GN",21438,"Recovered"
"GQ",219,"Active"
"GQ",8640,"Confirmed"
"GQ",118,"Deaths"
"GQ",8303,"Recovered"
"GR",307809,"Active"
"GR",413954,"Confirmed"
"GR",12381,"Deaths"
"GR",93764,"Recovered"
"GT",16476,"Active"
"GT",269308,"Confirmed"
"GT",8416,"Deaths"
"GT",244416,"Recovered"
"GW",188,"Active"
"GW",3802,"Confirmed"
"GW",69,"Deaths"
"GW",3545,"Recovered"
"GY",1664,"Active"
"GY",18196,"Confirmed"
"GY",422,"Deaths"
"GY",16110,"Recovered"
"HN",151232,"Active"
"HN",245695,"Confirmed"
"HN",6599,"Deaths"
"HN",87864,"Recovered"
"HR",1207,"Active"
"HR",358379,"Confirmed"
"HR",8123,"Deaths"
"HR",349049,"Recovered"
"HT",3173,"Active"
"HT",16079,"Confirmed"
"HT",346,"Deaths"
"HT",12560,"Recovered"
"HU",52272,"Active"
"HU",806790,"Confirmed"
"HU",29904,"Deaths"
"HU",724614,"Recovered"
"ID",106315,"Active"
"ID",1894025,"Confirmed"
"ID",52566,"Deaths"
"ID",1735144,"Recovered"
"IE",237753,"Active"
"IE",266058,"Confirmed"
"IE",4941,"Deaths"
"IE",23364,"Recovered"
"IL",320,"Active"
"IL",839653,"Confirmed"
"IL",6428,"Deaths"
"IL",832905,"Recovered"
"IN",1080690,"Active"
"IN",29359155,"Confirmed"
"IN",367081,"Deaths"
"IN",27911384,"Recovered"
"IQ",66089,"Active"
"IQ",1246860,"Confirmed"
"IQ",16668,"Deaths"
"IQ",1164103,"Recovered"
"IR",306480,"Active"
"IR",3013078,"Confirmed"
"IR",81796,"Deaths"
"IR",2624802,"Recovered"
"IS",50,"Active"
"IS",6555,"Confirmed"
"IS",29,"Deaths"
"IS",6476,"Recovered"
"IT",165239,"Active"
"IT",4241760,"Confirmed"
"IT",126924,"Deaths"
"IT",3949597,"Recovered"
"JM",21914,"Active"
"JM",48810,"Confirmed"
"JM",960,"Deaths"
"JM",25936,"Recovered"
"JO",5235,"Active"
"JO",739847,"Confirmed"
"JO",9530,"Deaths"
"JO",725082,"Recovered"
"JP",37253,"Active"
"JP",772293,"Confirmed"
"JP",13936,"Deaths"
"JP",721104,"Recovered"
"KE",51806,"Active"
"KE",174773,"Confirmed"
"KE",3378,"Deaths"
"KE",119589,"Recovered"
"KG",5299,"Active"
"KG",109193,"Confirmed"
"KG",1876,"Deaths"
"KG",102018,"Recovered"
"KH",6393,"Active"
"KH",37321,"Confirmed"
"KH",311,"Deaths"
"KH",30617,"Recovered"
"KI",2,"Active"
"KI",2,"Confirmed"
"KM",12,"Active"
"KM",3894,"Confirmed"
"KM",146,"Deaths"
